Basho,Overall,Ajigawa-205,Arashio-303,Asahiyama-204,Asakayama-203,Dewanoumi-28,Fujishima-3,Futagoyama-4,Hakkaku-402,Hanaregoma-110,Ikazuchi-5,Isegahama-200,Isenoumi-305,Kasugano-2,Kataonami-109,Kise-6,Kokonoe-403,Michinoku-302,Minato-111,Miyagino-210,Musashigawa-9,Naruto-113,Nishiiwa-114,Nishikido-405,Nishonoseki-100,Oitekaze-307,Onoe-10,Onomatsu-116,Oshima-201,Oshiogawa-117,Otake-115,Sadogatake-112,Sakaigawa-11,Shibatayama-108,Shikihide-12,Shikoroyama-119,Tagonoura-101,Takadagawa-120,Takasago-400,Takekuma-13,Tamanoi-14,Tatsunami-1,Tokitsukaze-300,Tokiwayama-107,Yamahibiki-8,Araiso-121,Asahiyama-208,Azumazeki-407,Futagoyama-102,Futagoyama-517,Hanakago-531,Hanakago-103,Hanakago-122,Hanaregoma-106,Hatachiyama-16,Isegahama-206,Izutsu-301,Kabutoyama-310,Kagamiyama-312,Kasugayama-537,Kasugayama-224,Kasugayama-231,Kiriyama-207,Kise-223,Kokonoe-404,Kumagatani-209,Kumagatani-213,Magaki-220,Magaki-124,Michinoku-320,Mihogaseki-7,Minatogawa-535,Minatogawa-126,Minezaki-123,Miyagino-533,Nakagawa-217,Nakagawa-309,Nakamura-128,Nakamura-406,Nishikijima-306,Nishonoseki-105,Oguruma-118,Oitekaze-221,Onaruto-218,Onaruto-215,Onogawa-19,Onogawa-20,Oshima-214,Oshiogawa-125,Oyama-411,Sadogatake-414,Sanoyama-410,Tagonoura-15,Takanohana-104,Takasago-401,Takashima-216,Takashima-212,Takekuma-229,Takekuma-211,Tamanoi-525,Tanigawa-219,Tatsutagawa-311,Tomozuna-501,Urakaze-230,Wakafuji-228,Yamawake-26
1965-03,808-76,,,,,71-11,,,,,,,21-1,58-4,33-2,,,18-2,,22-5,,,,,,,,,10-0,,,28-2,,,,,,,11-2,,,53-10,65-9,,,,25-2,,35-0,,,49-7,,,,41-6,,,,,6-0,,,5-0,,,,5-0,,,12-0,,,,,5-0,,,,,57-7,,,,,,,,,3-0,,,,,38-6,23-0,,,,,3-0,,,,,
1965-05,833-76,,,,,74-11,,,,,,,24-1,59-6,35-2,,,19-2,,22-5,,,,,,,,,10-0,,,28-2,,,,,,,11-2,,,52-6,67-10,,,,27-2,,39-0,,,47-7,,,,44-7,,,,,6-0,,,6-0,,,,4-0,,,12-0,,,,,6-0,,,,,57-8,,,,,,,,,3-0,,,,,38-5,26-0,,,,,3-0,,,,,
1965-07,821-76,,,,,68-11,,,,,,,24-1,58-6,36-2,,,19-2,,23-5,,,,,,,,,11-0,,,28-2,,,,,,,11-2,,,52-6,65-11,,,,28-2,,39-0,,,51-7,,,,44-7,,,,,5-0,,,6-0,,,,3-0,,,12-0,,,,,6-0,,,,,55-7,,,,,,,,,3-0,,,,,39-5,28-0,,,,,3-0,,,,,
1965-09,825-76,,,,,68-12,,,,,,,24-1,58-5,35-2,,,20-2,,24-5,,,,,,,,,12-1,,,28-2,,,,,,,11-3,,,50-5,65-11,,,,28-2,,40-0,,,48-8,,,,45-6,,,,,5-0,,,6-0,,,,3-0,,,12-0,,,,,6-0,,,,,55-7,,,,,,,,,3-0,,,,,40-4,28-0,,,,,3-0,,,,,
1965-11,799-76,,,,,67-11,,,,,,,25-1,56-5,34-2,,,22-2,,25-6,,,,,,,,,13-1,,,28-2,,,,,,,10-1,,,49-6,62-10,,,,28-2,,40-0,,,47-8,,,,46-7,,,,,5-0,,,6-0,,,,3-0,,,12-0,,,,,6-0,,,,,55-7,,,,,,,,,3-0,,,,,39-5,29-0,,,,,3-0,,,,,
1966-01,802-76,,,,,67-11,,,,,,,28-2,58-5,35-2,,,23-2,,25-6,,,,,,,,,13-1,,,31-2,,,,,,,10-1,,,49-7,63-10,,,,28-2,,41-0,,,47-8,,,,47-6,,,,,5-0,,,7-0,,,,3-0,,,12-0,,,,,6-0,,,,,54-6,,,,,,,,,3-0,,,,,40-5,29-0,,,,,3-0,,,,,
1966-03,799-76,,,,,70-11,,,,,,,29-2,59-4,35-2,,,23-2,,26-6,,,,,,,,,13-2,,,35-2,,,,,,,10-1,,,49-8,63-10,,,,27-2,,41-1,,,50-8,,,,48-5,,,,,6-0,,,7-0,,,,3-0,,,12-0,,,,,6-0,,,,,52-4,,,,,,,,,2-0,,,,,41-5,31-1,,,,,3-0,,,,,
1966-05,805-76,,,,,70-10,,,,,,,29-2,63-6,35-2,,,24-2,,27-6,,,,,,,,,12-2,,,36-2,,,,,,,10-1,,,47-7,64-10,,,,29-2,,44-1,,,49-8,,,,49-6,,,,,6-0,,,8-0,,,,4-0,,,12-0,,,,,7-0,,,,,52-4,,,,,,,,,2-0,,,,,39-5,29-0,,,,,3-0,,,,,
1966-07,779-76,,,,,69-10,,,,,,,29-2,62-6,35-2,,,24-2,,28-7,,,,,,,,,12-2,,,37-2,,,,,,,10-1,,,45-6,66-11,,,,27-2,,45-1,,,49-7,,,,47-5,,,,,7-0,,,8-0,,,,5-0,,,12-0,,,,,7-0,,,,,47-4,,,,,,,,,2-0,,,,,42-6,29-0,,,,,3-0,,,,,
1966-09,771-76,,,,,69-10,,,,,,,29-3,62-6,36-2,,,25-2,,28-7,,,,,,,,,12-2,,,36-2,,,,,,,10-1,,,44-6,66-10,,,,27-2,,46-1,,,46-6,,,,48-5,,,,,7-0,,,8-0,,,,5-0,,,11-1,,,,,7-0,,,,,47-4,,,,,,,,,2-0,,,,,43-6,30-0,,,,,3-0,,,,,
1966-11,744-76,,,,,70-10,,,,,,,29-3,58-6,36-2,,,25-2,,30-7,,,,,,,,,11-2,,,38-2,,,,,,,9-1,,,44-6,65-9,,,,28-2,,45-1,,,46-6,,,,48-6,,,,,7-0,,,8-0,,,,4-0,,,12-1,,,,,7-0,,,,,45-4,,,,,,,,,2-0,,,,,42-6,30-0,,,,,3-0,,,,,
1967-01,746-76,,,,,71-11,,,,,,,29-3,57-5,36-2,,,26-2,,29-7,,,,,,,,,11-1,,,39-2,,,,,,,9-1,,,44-6,62-9,,,,28-2,,46-1,,,43-6,,,,49-6,,,,,7-0,,,8-0,,,,4-0,,,14-1,,,,,8-0,,,,,45-5,,,,,,,,,2-0,,,,,42-6,28-0,,,,,3-0,,,,,
1967-03,741-76,,,,,53-8,,,,,,,28-3,56-5,38-2,,,28-2,,28-7,,,,,,,,,10-1,,,38-2,,,,,,,8-0,,,43-6,62-9,,,,28-2,,47-1,,,42-7,,,,50-5,,,,,7-0,,,7-0,13-3-Kokonoe-Y Chiyonoyama,,,5-0,,,15-1,,,,,8-0,,,,,45-5,,,,,,,,,3-0,,,,,40-7,27-0,,,,,3-0,,,,,
1967-05,753-60,,,,,56-6,,,,,,,26-3,58-4,39-2,,,28-2,,28-5,,,,,,,,,9-0,,,38-2,,,,,,,8-0,,,41-6,62-5,,,,29-2,,46-1,,,42-7,,,,50-4,,,,,7-0,,,7-0,14-3,,,5-0,,,16-0,,,,,8-0,,,,,48-3,,,,,,,,,3-0,,,,,40-5,28-0,,,,,3-0,,,,,
1967-07,711-60,,,,,52-6,,,,,,,25-3,57-4,33-1,,,26-2,,28-5,,,,,,,,,8-0,,,34-2,,,,,,,7-0,,,40-6,61-6,,,,28-2,,36-1,,,42-5,,,,47-4,,,,,8-0,,,7-0-M9 Kiyonomori,14-3,,,5-0,,,13-1,,,,,6-0,,,,,48-4,,,,,,,,,2-0,,,,,39-5,26-0,,,,,2-0,,,,,
1967-09,702-60,,,,,52-6,,,,,,,26-3,57-4,33-1,,,25-1,,28-5,,,,,,,,,8-0,,,35-2,,,,,,,7-0,,,40-6,60-6,,,,28-3,,35-1,,,46-5,,,,47-4,,,,,8-0,,,6-0,15-3,,,5-0,,,13-1,,,,,6-0,,,,,47-4,,,,,,,,,2-0,,,,,38-5,25-0,,,,,2-0,,,,,
1967-11,687-60,,,,,51-6,,,,,,,26-2,54-5,35-1,,,25-1,,26-4,,,,,,,,,8-0,,,36-3,,,,,,,7-0,,,38-6,59-6,,,,27-3,,34-1,,,46-5,,,,47-3,,,,,8-0,,,6-0,16-2,,,5-0,,,13-2,,,,,6-0,,,,,46-5,,,,,,,,,2-0,,,,,35-5,23-0,,,,,2-0,,,,,
1968-01,693-60,,,,,55-6,,,,,,,25-2,56-5,34-1,,,27-1,,26-5,,,,,,,,,8-0,,,37-3,,,,,,,7-0,,,39-6,59-5,,,,27-3,,36-1,,,46-5,,,,48-3,,,,,8-0,,,5-0,15-2,,,5-0,,,13-2,,,,,6-0,,,,,46-4,,,,,,,,,2-0,,,,,35-6,23-0,,,,,2-0,,,,,
1968-03,663-60,,,,,54-6,,,,,,,22-2,51-5,32-1,,,27-1,,26-5,,,,,,,,,7-0,,,33-2,,,,,,,7-0,,,37-5,51-4,,,,27-3,,36-2,,,45-5,,,,49-4,,,,,6-0,,,5-0,15-2,,,5-0,,,13-2,,,,,6-0,,,,,43-4,,,,,,,,,3-0,,,,,33-7,23-0,,,,,2-0,,,,,
1968-05,664-60,,,,,58-4-Y Sadanoyama,,,,,,,22-2,51-5,33-1,,,27-1,,28-5,,,,,,,,,7-0,,,32-3,,,,,,,6-0,,,36-6,50-3,,,,27-3,,36-3,,,47-5,,,,48-4,,,,,7-0,,,5-0,17-2,,,5-0,,,14-2,,,,,6-0,,,,,42-4,,,,,,,,,4-0,,,,,34-7,20-0,,,,,2-0,,,,,
1968-07,643-60,,,,,57-4,,,,,,,21-2,51-5,33-1,,,24-1,,27-6,,,,,,,,,7-0,,,30-3,,,,,,,6-0,,,35-5,48-3,,,,26-3,,35-3,,,46-5,,,,47-4,,,,,8-0,,,3-0,17-2,,,4-0,,,14-2,,,,,4-0,,,,,41-4,,,,,,,,,2-0,,,,,34-7,20-0,,,,,1-0,,,,,
1968-09,643-60,,,,,58-4,,,,,,,20-2,51-5,33-1,,,24-1,,28-6,,,,,,,,,8-0,,,29-3,,,,,,,6-1,,,34-5,48-3,,,,26-3,,34-3,,,45-5,,,,47-3,,,,,8-0,,,3-0,17-2,,,3-0,,,13-2,,,,,4-0,,,,,41-3,,,,,,,,,2-0,,,,,33-8,20-0,,,,,1-0,,,,,
1968-11,615-60,,,,,53-4,,,,,,,19-2,51-5,33-1,,,21-2,,29-6,,,,,,,,,8-0,,,30-3,,,,,,,6-0,,,33-6,43-2,,,,23-3,,31-3,,,42-5,,,,42-3,,,,,7-0,,,4-0,16-2,,,3-0,,,14-3,,,,,4-0,,,,,40-3,,,,,,,,,2-0,,,,,30-7,21-0,,,,,1-0,,,,,
1969-01,608-59,,,,,55-4,,,,,,,18-2,48-5,31-1,,,23-2,,29-6,,,,,,,,,8-0,,,30-3,,,,,,,6-1,,,33-6,40-2,,,,24-3,,33-3,,,40-4,,,,42-3,,,,,7-0,,,3-0,15-2,,,3-0,,,14-3,,,,,5-0,,,,,40-3,,,,,,,,,2-0,,,,,28-5,21-1,,,,,1-0,,,,,
1969-03,586-60,,,,,52-5,,,,,,,19-2,47-5,30-1,,,22-2,,27-3,,,,,,,,,7-1,,,28-3,,,,,,,6-1,,,31-8,37-2-O Yutakayama,,,,23-3,,35-3,,,44-4,,,,40-3,,,,,7-0,,,3-0,14-2,,,3-0,,,14-3,,,,,5-0,,,,,38-3,,,,,,,,,2-0,,,,,28-6,20-0,,,,,1-0,,,,,
1969-05,620-60,,,,,55-5,,,,,,,19-2,47-5,32-1,,,20-2,,30-4,,,,,,,,,8-1,,,28-3,,,,,,,6-1,,,32-8,38-1,,,,22-3,,38-3,,,45-4,,,,40-3,,,,,8-0,,,4-0,18-2,,,4-0,,,15-3,,,,,4-0,,,,,39-4,,,,,,,,,2-0,,,,,32-5,20-0,,,,,1-0,,,,,
1969-07,602-60,,,,,51-5,,,,,,,18-2,46-5,32-1,,,20-2,,29-5,,,,,,,,,7-1,,,26-3,,,,,,,5-0,,,31-7,39-1,,,,21-4,,39-3,,,43-4,,,,38-3,,,,,8-0,,,4-0,17-2,,,3-0,,,15-4,,,,,4-0,,,,,36-4,,,,,,,,,2-0,,,,,32-4,19-0,,,,,1-0,,,,,
1969-09,598-60,,,,,49-4,,,,,,,17-1,47-5,34-1,,,20-2,,31-4,,,,,,,,,7-1,,,27-3,,,,,,,6-0,,,29-7,39-1,,,,21-5,,39-3,,,41-3,,,,40-4,,,,,8-0,,,4-0,17-2,,,3-0,,,15-4,,,,,4-0,,,,,34-4,,,,,,,,,2-0,,,,,30-5,18-1,,,,,,,,,,
1969-11,593-60,,,,,47-4,,,,,,,20-1,46-5,34-1,,,18-2,,30-4,,,,,,,,,7-1,,,27-3,,,,,,,6-0,,,29-6-S Haguroyama,39-3,,,,21-5,,37-3,,,41-2,,,,40-4,,,,,8-0,,,5-0,17-2,,,3-0,,,15-4,,,,,5-0,,,,,38-4,,,,,,,,,2-0,,,,,30-5,18-1,,,,,,,,,,
1970-01,596-60,,,,,49-4,,,,,,,21-2,48-5,33-1,,,18-2,,28-3,,,,,,,,,6-1,,,29-3,,,,,,,6-0,,,26-4,41-3,,,,22-6,,38-3,,,38-3,,,,39-4,,,,,8-0,,,5-0,17-1,,,3-0,,,17-4,,,,,4-0,,,,,38-4,,,,,,,,,5-0,,,,,30-6,17-1,,,,,,,,,,
1970-03,586-60,,,,,47-3,,,,,,,23-1,44-6,33-1,,,17-3,,29-3,,,,,,,,,6-0,,,24-3,,,,,,,6-0,,,27-5,41-3,,,,20-6,,38-3,,,38-2,,,,39-4,,,,,7-0,,,5-0,17-1,,,3-0,,,18-4,,,,,4-0,,,,,38-4,,,,,,,,,5-0,,,,,32-7,16-1,,,,,,,,,,
1970-05,596-60,,,,,47-3,,,,,,,24-1,45-6,30-1,,,18-3,,29-3,,,,,,,,,6-0,,,23-3,,,,,,,6-0,,,28-5,44-3,,,,20-6,,40-3,,,37-3,,,,41-4,,,,,7-0,,,6-0,16-1,,,4-0,,,18-4,,,,,4-0,,,,,41-4,,,,,,,,,3-0,,,,,31-6,17-1,,,,,,,,,,
1970-07,572-60,,,,,47-3,,,,,,,25-2,40-5,30-1,,,16-3,,28-3,,,,,,,,,5-0,,,19-3,,,,,,,6-0,,,27-5,43-3,,,,20-5,,40-3,,,37-4,,,,39-4,,,,,7-0,,,6-0,16-2,,,4-0,,,15-3,,,,,4-0,,,,,41-4,,,,,,,,,3-0,,,,,30-6,16-1,,,,,,,,,,
1970-09,597-60,,,,,48-3,,,,,,,26-2,41-4,30-1,,,17-3,,29-3,,,,,,,,,6-0,,,18-3,,,,,,,8-0,,,26-6,44-5,,,,19-5,,41-3,,,34-3,,,,43-4,,,,,7-0,,,6-0,19-2,,,4-0,,,15-3,,,,,3-0,,,,,51-4,,,,,,,,,3-0,,,,,33-5,16-1,,,,,,,,,,
1970-11,582-60,,,,,50-3,,,,,,,15-2,39-6,30-1,,,16-3,,27-2,,,,,,,,,6-0,,,18-3,,,,,,,7-0,,,25-5,43-6,,,,17-4,,39-3,,,33-3,,,,43-4,,,11-0-Kagamiyama-Y Kashiwado,,7-0,,,7-0,19-2,,,4-0,,,14-3,,,,,2-0,,,,,52-4,,,,,,,,,3-0,,,,,32-5,15-1,,,,,,,,,,
1971-01,591-60,,,,,53-3,,,,,,,15-2,39-6,32-1,,,16-2,,29-2,,,,,,,,,6-0,,,19-3,,,,,,,7-0,,,24-4,45-6,,,,16-4,,39-4,,,33-4,,,,45-4,,,12-0,,7-0,,,7-0,19-2,,,4-0,,,14-3,,,,,2-0,,,,,50-4,,,,,,,,,5-0,,,,,29-5,15-1,,,,,,,,,,
1971-03,586-60,,,,,52-3,,,,,,,14-2,38-6,32-1,,,16-2,,29-2,,,,,,,,,6-0,,,19-2,,,,,,,7-0,,,25-4,44-6,,,,14-4,,38-5,,,32-3,,,,45-4,,,13-0,,6-1-M1 Onobori,,,7-0,19-2,,,4-0,,,14-3,,,,,2-0,,,,,50-4,,,,,,,,,6-0,,,,,24-5,16-1,,,,,,,,,,
1971-05,589-60,,,,,50-3,,,,,,,14-2,39-7,30-1,,,16-3,,29-2,,,,,,,,,5-0,,,20-2,,,,,,,7-0,,,24-4,47-5,,,,13-5,,38-4,,,34-3,,,,46-4,,,14-0,,6-0,,,8-0,19-2,,,4-0,,,14-3,,,,,2-0,,,,,52-5,,,,,,,,,6-0,,,,,26-4,14-1,,,,,,,,,,
1971-07,600-60,,,,,50-3,,,,,,,15-2,40-6,30-1,,,16-3,,29-2,,,,,,,,,6-0,,,23-2,,,,,,,6-0,,,25-4,46-5,,,,13-4,,38-4,,,34-3,,,,45-5,,,16-0,,6-0,,,8-0,18-2,,,3-0,,,15-4,,,,,2-0,,,,,56-4,,,,,,,,,6-0,,,,,27-5,13-1,,,,,,,,,,
1971-09,612-60,,,,,50-3,,,,,,,15-2,43-6,31-2,,,16-3,,31-2,,,,,,,,,6-0,,,22-2,,,,,,,6-1,,,25-5,45-5,,,,13-4,,35-2,,,33-3,,,,45-3,,,17-0,,6-1,,,8-0,19-2,,,3-0,,,15-4,,,,,2-0,,,,,65-5,,,,,,,,,5-0,,,,,27-4-Y Asahio III,14-1,,,,,,2-0-Tatsutagawa-Y Kagamisato,,,,
1971-11,610-60,,,,,51-3,,,,,,,14-2,42-6,31-1,,,17-3,,34-3,,,,,,,,,6-0,,,21-2,,,,,,,5-1,,,26-5,43-4,,,,13-4,,35-3,,,35-4,,,,45-2,,,17-0,,7-1,,,7-0,19-2,,,2-0,,,14-4,,,,,2-0,,,,,71-4,,,,,,,,,5-0,,,,,25-5,13-1,,,,,,4-0,,,,
1972-01,611-61,,,,,52-3,,,,,,,14-2,42-6,33-1,,,17-3,,29-3,,,,,,,,,6-0,,25-0-Taiho-Y Taiho,22-2,,,,,,,5-1,,,26-5,43-5,,,,13-4,,35-3,,,35-4,,,,45-2,,,16-0,,7-1,,,7-0,19-2,,,2-0,,,13-4,,,,,2-0,,,,,45-4,,,,,,,,,5-0,,,,,25-5,13-1,,,,,,4-0,,,,
1972-03,613-62,,,,,52-3,,,,,,,12-3,41-5,33-0,,,15-3,,31-3,,,,,,,,,6-0,,27-0,22-2,,,,,,,5-1,,,25-5,41-5,,,,13-4,,36-4,,,35-4,,,,44-3,,,16-0,,8-1,,,7-0,19-2,,,2-0,,,13-4,,,,,2-0,,,,,44-4,,,,,,,,,5-0,,,,,25-5,13-1,,,,,,6-0,,,,
1972-05,627-60,,,,,55-4,,,,,,,12-2,43-5,32-1,,,14-2-M4 Hoshikabuto,,33-2,,,,,,,,,6-0,,31-0,22-2,,,,,,,5-1,,,23-4,41-5,,,,13-4,,36-4,,,35-3,,,,43-3,4-1-Kimigahama-S Tsurugamine,,17-0,,8-1,,,7-0,21-2,,,3-0,,,13-4,,,,,2-0,,,,,44-4,,,,,,,,,5-0,,,,,25-5,14-1,,,,,,7-0,,,,
1972-07,594-61,,,,,50-4,,,,,,,11-2,42-6,32-1,,,14-2,,29-2,,,,,,,,,4-0,,31-0,22-2,,,,,,,4-1,,,22-4,37-5,,,,13-4,,34-4,,,35-3,,,,42-2,4-2,,16-0,,9-0,,,6-0,21-2,,,3-0,,,13-4,,,,,1-0,,,,,41-5,,,,,,,,,5-0,,,,,25-5,13-1,,,,,,7-0,,,,
1972-09,589-62,,,,,48-5,,,,,,,11-2,42-5,30-1,,,14-2,,29-2,,,,,,,,,4-0,,31-0,22-2,,,,,,,4-1,,,22-4,37-6,,,,13-4,,35-5,,,34-3,,,,43-2,5-1,,16-0,,8-0,,,6-0,19-2,,,3-0,,,12-4,,,,,1-0,,,,,41-5,,,,,,,,,5-0,,,,,27-5,13-1,,,,,,7-0,,,,
1972-11,577-62,,,,,45-5,,,,,,,10-2,40-5,30-0,,,13-1,,29-1,,,,,,,,,4-0,,33-0,21-3,,,,,,,4-1,,,22-4,38-6,,,,15-4,,33-4,,,35-4,,,,43-3,6-1,,16-0,,8-0,,,6-0,19-2,,,2-0,,,12-4,,,,,1-0,,,,,38-6,,,,,,,,,6-0,,,,,27-5,13-1,,,,,,8-0,,,,
1973-01,566-61,,,,,44-5,,,,,,,9-0,41-5,26-0,,,11-1,,29-1,,,,,,,,,4-0,,32-0,21-3,,,,,,,4-1,,,23-5,38-5,,,,15-5,,31-4,,,38-5,,,,42-3,7-1,,16-0,,8-0,,,6-0,19-2,,,2-0,,,11-4,,,,,1-0,,,,,36-5,,,,,,,,,6-0,,,,,27-5,12-1,,,,,,8-0,,,,
1973-03,616-62,,,,,45-5,,,,,,,10-0,46-6,27-0,,,13-1,,29-1,,,,,,,,,4-0,,34-0,22-3,,,,,,,7-1,,,26-5,44-6,,,,15-5,,31-4,,,36-5,,,,44-2,10-1,,17-0,,8-0,,,6-0,20-3,,,2-0,,,13-4,,,,,,,,,,38-5,,,,,,,,,6-0,,,,,28-4,13-1,,,,,,9-0,,,,
1973-05,608-62,,,,,44-6,,,,,,,9-0,42-6,27-1,,,13-1,,29-1,,,,,,,,,4-0,,34-0,21-3,,,,,,,7-1,,,26-5,43-6,,,,15-5,,31-4,,,33-5,,,,43-2,10-1,,17-0,,8-0,,,7-0,22-3,,,2-0,,,15-4,,,,,,,,,,38-3,,,,,,,,,6-0,,,,,27-4,13-1,,,,,,9-0,,,,
1973-07,596-63,,,,,44-6,,,,,,,9-0,41-7,26-0,,,12-1,,29-1,,,,,,,,,4-0,,35-0,21-3,,,,,,,6-1,,,26-5,44-5,,,,15-5,,31-6,,,33-5,,,,42-2,11-1,,16-0,,7-0,,,7-0,22-3,,,2-0,,,15-4,,,,,,,,,,38-3,,,,,,,,,6-0,,,,,27-4,13-1,,,,,,8-0,,,,
1973-09,594-62,,,,,46-5,,,,,,,9-0,39-6,25-0,,,11-1,,26-1,,,,,,,,,4-1,,36-0,21-3,,,,,,,6-1,,,26-5,47-5,,,,15-5,,31-6,,,33-5,,,,41-2,11-1,,15-0,,7-0,,,7-0,23-3,,,2-0,,,15-4,,,,,,,,,,36-3,,,,,,,,,6-0,,,,,27-4,14-1,,,,,,9-0,,,,
1973-11,581-62,,,,,45-5,,,,,,,8-0,40-5,24-2,,,11-1,,26-1,,,,,,,,,4-1,,35-0,20-4,,,,,,,6-1,,,26-3,48-5,,,,15-4,,32-6,,,33-5,,,,36-2,11-1,,15-0,,6-0,,,7-0,23-4,,,2-0,,,15-4,,,,,,,,,,35-3,,,,,,,,,5-0,,,,,27-4,14-1,,,,,,9-0,,,,
1974-01,582-62,,,,,47-5,,,,,,,8-0,40-3,22-2,,,11-0,,26-1,,,,,,,,,4-1,,35-0,19-4,,,,,,,6-1,,,27-4,49-5,,,,15-4,,32-6,,,35-5,,,,36-2,11-1,,14-0,,6-0,,,7-0,23-4,,,2-0,,,16-4,,,,,,,,,,34-5,,,,,,,,,5-0,,,,,27-4,12-1,,,,,,10-0,,,,
1974-03,624-62,,,,,52-5,,,,,,,8-0,43-4,22-2,,,11-0,,27-1,,,,,,,,,4-1,,41-0,20-4,,,,,,,6-1,,,28-4,51-4,,,,14-4,,34-6,,,37-5,,,,32-1,11-1,,16-0,,6-0,,,7-0,25-4,,,2-0,,,20-4,,,,,,,,,,37-6,,,,,,,,,6-0,,,,,28-4,12-1,,,,,,11-0,,,,
1974-05,635-62,,,,,53-5,,,,,,,8-1,43-5,23-2,,,11-0-Michinoku,,30-1,,,,,,,,,4-1,,40-0,20-3,,,,,,8-0-Takadagawa-O Maenoyama,6-1,,,29-3,51-4,,,,14-4,,34-6,,,36-5,,,,33-1,12-1,,15-0,,6-0,,,7-1,25-3,,,2-0,,,19-4,,,,,,,,,,38-6,,,,,,,,,6-0,,,,,28-3,11-2,,,,,,12-0,,,,
1974-07,620-62,,,,,53-5,,,,,,,8-0,38-4,23-2,,,11-0,,30-1,,,,,,,,,4-1,,40-0,19-3,,,,,,8-0,6-1,,,28-3,48-4,,,,13-4,,34-5,,,37-6,,,,32-1,11-1,,15-0,,6-0,,,7-1,23-3,,,2-0,,,19-5,,,,,,,,,,38-6,,,,,,,,,6-1,,,,,28-3,11-2,,,,,,13-0,,,,
1974-09,623-62,,,,,53-5,,,,,,,8-0,38-5,23-2,,11-0-Izutsu-Y Kitanofuji,12-0,,27-1,,,,,,,,,4-1,,41-0,23-2-Y Kotozakura,,,,,,9-0,6-1,,,28-4,48-5,,,,13-4,,34-5,,,36-6,,,,34-1,13-1,,15-0,,6-0,,,7-1,10-2,,,2-0,,,20-5,,,,,,,,,,38-6,,,,,,,,,6-0,,,,,27-3,11-2,,,,,,13-0,,,,
1974-11,606-62,,,,,47-5,,,,,,,7-0,38-3,22-2,,11-0,12-0,,26-1,,,,,,,,,4-1,,41-0,25-2,,,,,,9-0,6-1,,,27-3,48-5,,,,16-4,,33-7,,,35-6,,,,32-1,13-1,,13-0,,6-0,,,7-1,10-3,,,2-0,,,21-5,,,,,,,,,,38-6,,,,,,,,,5-0,,,,,27-3,10-2,,,,,,13-0,,,,
1975-01,611-62,,,,,47-5,,,,,,,7-0,43-6,22-2,,11-0,11-0,,26-1,,,,,,,,,4-1,,41-0,28-2,,,,,,10-0,7-1,,,27-4,46-4,,,,17-4,,33-6,,,39-5,,,,33-1,13-1,,13-0,,6-0,,,7-1,10-3,,,2-0,,,20-5,,,,,,,,,,37-5,,,,,,,,,4-0,,,,,27-3,10-2,,,,,,13-0,,,,
1975-03,660-62,,,,,50-5,,,,,,,9-0,42-5,22-2,,13-0,11-0,,28-1,,,,,,,,,3-1,,47-0,34-2,,,,,,10-0,8-1,,,29-4,46-4,,,,17-3,,35-6,,,39-6,,,,35-1,17-2,,13-0,,6-0,,,9-1,12-3,,,,,,24-5,,,,,,,,,,40-5,,,,,,,,,4-0,,,,,26-3,10-2,,,,,,12-0,,,,
1975-05,670-62,,,,,52-6,,,,,,,9-0,43-5,22-3,,19-0,12-0,,28-1,,,,,,,,,3-1,,50-0,34-2,,,,,,10-0,8-1,,,28-3,43-5,,,,16-2,,35-6,,,38-7,,,,34-1,17-1,,13-0,,7-0,,,9-1,12-3,,,,,,24-5,,,,,,,,,,40-4-M1 Tokachiiwa,,,,,,,,,4-0,,,,,26-3,10-2,,,,,,13-0,,,,
1975-07,656-62,,,,,51-5,,,,,,,9-0,42-5,22-3,,19-0,12-0,,27-1,,,,,,,,,4-1,,50-0,34-2,,,,,,10-0,8-1,,,28-3,41-5,,,,16-2,,34-7,,,36-5,,,,33-1,16-1,,12-2,,8-0,,,9-1,12-3,,,,,,25-5,,,,,,,,,,36-4,,,,,,,,,4-0,,,,,26-3,10-2,,,,,,13-0,,,,
1975-09,652-62,,,,,52-6,,,,,,,9-0,42-5,22-2,,19-0,10-0,,27-1,,,,,,,,,4-1,,49-0,34-2,,,,,,12-0,8-1,,,28-3,42-5,,,,17-2,,34-7,,,35-7,,,,33-0,16-1,,12-2,,8-0,,,9-1,12-3,,,,,,25-5,,,,,,,,,,35-4,,,,,,,,,4-0,,,,,26-3,10-1,,,,,,13-0,,,,
1975-11,650-63,,,,,53-5,,,,,,,10-0,42-6,21-2,,20-0,10-0,,27-1,,,,,,,,,4-1,,49-0,36-4,,,,,,11-0,8-1,,,29-3,40-5,,,,14-2-K Wakafutase,,33-6,,,32-6,,,,30-0,15-1,,14-2,,8-0,,,9-1,13-3,,,,,,24-5,,,,,,,,,,28-3,,,,2-0-Onaruto-S Kotetsuyama,,,,6-1-Oshiogawa-O Daikirin,4-1,,,,,27-3,10-1,,,,,,13-0,,,,
1976-01,644-62,,,,,53-5,,,,,,,9-0,42-5,21-2,,20-0,10-0,,27-1,,,,,,,,,4-1,,47-0,37-4,,,,,,11-0,8-1,,,28-3,39-5,,,,14-2,,33-6,,,33-6,,,,30-0,16-1,,14-2,,7-0,,,9-1,12-3,,,,,,24-5,,,,,,,,,,28-3,,,,2-0,,,,7-1,4-1,,,,,28-3,10-1,,,,,,13-0,,,,
