Basho,Overall,Ajigawa-205,Arashio-303,Asahiyama-204,Asakayama-203,Dewanoumi-28,Fujishima-3,Futagoyama-4,Hakkaku-402,Hanaregoma-110,Ikazuchi-5,Isegahama-200,Isenoumi-305,Kasugano-2,Kataonami-109,Kise-6,Kokonoe-403,Michinoku-302,Minato-111,Miyagino-210,Musashigawa-9,Naruto-113,Nishiiwa-114,Nishikido-405,Nishonoseki-100,Oitekaze-307,Onoe-10,Onomatsu-116,Oshima-201,Oshiogawa-117,Otake-115,Sadogatake-112,Sakaigawa-11,Shibatayama-108,Shikihide-12,Shikoroyama-119,Tagonoura-101,Takadagawa-120,Takasago-400,Takekuma-13,Tamanoi-14,Tatsunami-1,Tokitsukaze-300,Tokiwayama-107,Yamahibiki-8,Araiso-121,Asahiyama-208,Azumazeki-407,Futagoyama-102,Futagoyama-517,Hanakago-531,Hanakago-103,Hanakago-122,Hanaregoma-106,Hatachiyama-16,Isegahama-206,Izutsu-301,Kabutoyama-310,Kagamiyama-312,Kasugayama-537,Kasugayama-224,Kasugayama-231,Kiriyama-207,Kise-223,Kokonoe-404,Kumagatani-209,Kumagatani-213,Magaki-220,Magaki-124,Michinoku-320,Mihogaseki-7,Minatogawa-535,Minatogawa-126,Minezaki-123,Miyagino-533,Nakagawa-217,Nakagawa-309,Nakamura-128,Nakamura-406,Nishikijima-306,Nishonoseki-105,Oguruma-118,Oitekaze-221,Onaruto-218,Onaruto-215,Onogawa-19,Onogawa-20,Oshima-214,Oshiogawa-125,Oyama-411,Sadogatake-414,Sanoyama-410,Tagonoura-15,Takanohana-104,Takasago-401,Takashima-216,Takashima-212,Takekuma-229,Takekuma-211,Tamanoi-525,Tanigawa-219,Tatsutagawa-311,Tomozuna-501,Urakaze-230,Wakafuji-228,Yamawake-26
1944-11,470-83,,,,,42-19,,,,,,,1-1,12-6,,,,n,,,,,,,,,,,10-2,,,,,,,,,,3-1,,,22-8,25-8,,,,6-3,,,1-0,1-0,,,,,22-8,,,,2-0,,,,,,0-0,,,,1-1,1-0,1-1,,,2-1,,,1-0,,6-4,22-10,,1-0,,,,1-0,,,2-0,0-0,,,,23-7,,,2-0,,1-0,,,0-0,,1-1,1-0-M2 Komanosato
1945-06,391-82,,,,,35-18,,,,,,,1-1,12-6,,,,n,,,,,,,,,,,10-2,,,,,,,,,,3-1,,,21-7,25-8,,,,6-3,,,1-0,2-0,,,,,22-9,,,,2-0,,,,,,0-0,,,,1-1,1-0,1-1,,,2-1,,,0-0,,6-4,21-9,,1-0,,,,0-0,,,2-0,0-0,,,,23-9,,,2-0,,1-0,,,0-0,,1-0,1-1
1945-11,319-83,,,,,31-15,,,,,,,1-1,12-7,,,,n,,,,,,,,,,,10-2,,,,,,,,,,3-1,,,19-9,25-9,,,,6-3,,,0-0,1-0,,,,,22-9,,,,2-0,,,,,,0-0,,,,1-1,1-0,1-0,,,2-1,,,1-0,,6-3,22-11,,1-0,,,,0-0,,,2-0,0-0,,,,22-9,,,2-0,,1-0,,,0-0,,1-0,1-1
1946-11,313-78,,,,,26-12,,,,,,,n,11-6,,,,n,,,,,,,,,,,10-3,,,,,,,,,,3-1,,,21-9,30-7-Tokitsukaze,,,,7-3,,,0-0,1-0,,,,,23-9,,,,3-0,,,,,,0-0,,,,1-1,n,1-0,,,2-1,,,1-0,,7-3,28-10,,1-0,,,,2-0,,,2-0,0-0,,,,22-11,,,1-0,,1-0,,,0-0,,1-0,1-1
1947-06,301-81,,,,,27-13,,,,,,,n,9-5,,,,2-0-M2 Tsurugamine,,,,,,,,,,,10-4,,,,,,,,,,3-1,,,25-10,32-7,,,,7-4,,,0-0,1-0,,,,,23-8,,,,,,,,,,1-1,,,,1-1,n,1-0,,,2-2,,,2-0,,7-3,29-11,,1-1,,,,2-0-Onogawa-M2 Kinkazan,,,2-0,,,,,21-8,,,1-0,,,,,,,1-0,1-1
1947-11,286-81,,,,,27-15,,,,,,,n,9-5,,,,7-0,,,,,,,,,,,11-4,,,,,,,,,,2-0,,,24-8,26-6,,,,6-3,,,,1-0,,,,,22-9,,,,,,,,,,1-1,,,,1-1,n,0-0,,,2-2,,,2-0,,7-3,33-11,,1-1,,,,2-1,,,2-0,,,,,23-9,,,2-0,,,,,,,1-0,1-1
1948-05,285-83,,,,,29-14,,,,,,,n,8-5,,,,10-0,,,,,,,,,,,11-6,,,,,,,,,,2-0,,,26-12,25-6,,,,6-3,,,,,,,,,23-10,,,,,,,,,,1-1,,,,2-1,n,0-0,,,2-2,,,2-0,,9-3,33-9,,1-1,,,,2-0,,,2-0,,,,,23-9,,,2-0,,,,,,,1-0,1-1
1948-10,290-83,,,,,29-15,,,,,,,n,8-5,,,,10-0,,,,,,,,,,,13-5,,,,,,,,,,3-0,,,27-12,25-6,,,,6-3,,,,,,,,,23-9,,,,,,,,,,2-1,,,,2-1,n,,,,2-2,,,2-0,,9-3,33-9,,1-1,,,,3-1,,,2-0,,,,,24-9,,,3-0,,,,,,,,1-1
1949-01,286-83,,,,,29-14,,,,,,,n,8-5,,,,10-0,,,,,,,,,,,13-5,,,,,,,,,,3-0,,,27-11,25-7,,,,6-3,,,,,,,,,22-8,,,,,,,,,,2-1,,,,2-1,n,,,,2-2,,,2-0,,10-4,32-10,,1-1,,,,3-0,,,2-0,,,,,23-9,,,3-0,,,,,,,,1-1
1949-05,292-85,,,,,29-16-Y Tsunenohana,,,,,,,5-0-M1 Kashiwado,8-5,,,,12-0,,,,,,,,,,,13-6,,,,,,,,,,3-0,,,26-13,27-8,,,,5-2,,,,,,,,,22-7,,,,,,,,,,2-1,,,,2-1,n,,,,2-2,,,2-0,,4-2,35-11,,1-1,,,,3-1,,,1-1,,,,,26-7,,,3-0,,,,,,,,
